"","en","af","am","ar","as","az","be","bg","bn","bs","cs","da","de","dv","el","es","et","fa","fi","fr","ga","he","hi","hr","hy","id","is","it","ja","jv","ka","kk","ko","ky","lb","lt","lv","mk","mn","ms","mt","my","ne","nl","no","pl","ps","pt","ro","ru","sk","sl","so","sq","sr","su","sv","sw","tg","th","tk","tl","tr","uk","ur","uz","vi","zh"
"triumph","triumph","triomf","ድል","انتصار","জয়লাভ","zəfər","трыумфаваць","триумф","বিজয়","trijumf","triumf","triumf","Triumph","ކާމިޔާބީ","θρίαμβος","triunfo","triumf","پیروزی","voitto","triomphe","bua","נצחון","विजयोल्लास","trijumf","հաղթանակ","kemenangan","sigur","trionfo","勝利","kamenangan","ტრიუმფი","жеңіс","승리","жеңиш","triumph","triumfas","triumfs","триумф","ялалт","kemenangan","trijonf","အောင်ပွဲ","विजय","triomf","triumf","zwycięstwo","بریا","triunfo","triumf","триумф","triumf","zmagoslavje","guul","triumfojnë","тријумф","kameunangan","triumf","ushindi","галаба","ชัยชนะ","ýeňiş","pagtatagumpay","zafer","тріумфувати","فتح","g'alaba","chiến thắng","胜利"
"win","win","wen","ማሸነፍ","فوز","জয়","qalib","выйграць","печеля","জয়","pobijediti","vyhrát","vinde","gewinnen","މޮޅުވުން","νίκη","victoria","võita","پیروزی","voittaa","gagner","bua","לנצח","जीतना","pobijediti","հաղթել","menang","vinna","vincita","勝つ","menang","გამარჯვება","жеңу","이기다","ут","gewannen","laimėti","uzvarēt","победи","ялна","menang","irbaħ","အနိုင်ရ","जीत","winnen","vinne","wygrać","ګټل","ganhar","victorie","выиграть","vyhrať","zmaga","guulayso","fitojnë","победити","meunang","vinna","kushinda","бурд","ชนะ","ýeňiş","manalo","kazanç","виграти","جیت","g'alaba qozonish","thắng lợi","赢"
"fulfillment","fulfillment","vervulling","ማሟላት","تحقيق، إنجاز","পূৰ্ণতা","yerinə yetirilməsi","выкананне","изпълнение","পরিপূর্ণতা","ispunjenje","splnění","opfyldelse","Erfüllung","ފުރިހަމަވުމެވެ","εκπλήρωση","cumplimiento","täitmine","تحقق","täyttymys","accomplissement","comhlíonadh","הַגשָׁמָה","पूर्ति","ispunjenje","կատարում","pemenuhan","uppfyllingu","compimento","フルフィルメント","kasenengan","შესრულება","орындалуы","이행","аткаруу","Erfëllung","išpildymas","izpildi","исполнување","биелэлт","pemenuhan","twettiq","ပြည့်စုံခြင်း။","पूर्ति","vervulling","oppfyllelse","spełnienie","تکمیل","cumprimento","împlinire","исполнение","plnenie","izpolnitev","buuxin","përmbushje","испуњење","minuhan","uppfyllelse","utimilifu","иҷро","สมหวัง","ýerine ýetirilmegi","katuparan","yerine getirme","виконання","تکمیل","bajarilishi","hoàn thành","履行"
"excellence","excellence","uitnemendheid","የላቀ ደረጃ","تفوق","শ্রেষ্ঠতা","mükəmməllik","дасканаласць","съвършенство","শ্রেষ্ঠত্ব","izvrsnost","excelence","fortræffelighed","Exzellenz","މޮޅުވުން","υπεροχή","excelencia","tipptase","تعالی","erinomaisuutta","excellence","barr feabhais","מצוינות","उत्कृष्टता","izvrsnost","գերազանցություն","keunggulan","ágæti","eccellenza","優秀","unggul","ბრწყინვალება","тамаша","우수","мыкты","excellence","puikybė","izcilība","извонредност","шилдэг","kecemerlangan","eċċellenza","ထူးချွန်","उत्कृष्टता","uitmuntendheid","fortreffelighet","doskonałość","غوره والی","excelência","excelenţă","совершенство","excelentnosť","odličnost","heer sare","përsosmëri","изврсност","kaunggulan","förträfflighet","ubora","аъло","ความเป็นเลิศ","kämillik","kahusayan","mükemmellik","досконалість","اتکرجتا","mukammallik","xuất sắc","卓越"
"victory","victory","oorwinning","ድል","فوز","বিজয়","qələbə","перамога","победа","বিজয়","pobjeda","vítězství","sejr","Sieg","ކާމިޔާބެވެ","νίκη","victoria","võit","پیروزی","voitto","la victoire","bua","ניצחון","विजय","pobjeda","հաղթանակ","kemenangan","sigur","vittoria","勝利","kamenangan","გამარჯვება","жеңіс","승리","жеңиш","Victoire","pergalę","uzvara","победа","ялалт","kemenangan","rebħa","အောင်ပွဲ","विजय","zege","seier","zwycięstwo","بریا","vitória","victorie","победа","víťazstvo","zmaga","guul","fitoren","победа","meunangna","seger","ushindi","галаба","ชัยชนะ","ýeňiş","tagumpay","zafer","перемога","فتح","g'alaba","chiến thắng","胜利"
"tall","tall","lank","ረጅም","طويل","ওখ","hündür","высокі","висок","লম্বা","visok","vysoký","høj","groß","ދިގު","ψηλός","alto","pikk","بلند قد","pitkä","grand","ard","גובה","लंबा","visok","բարձրահասակ","tinggi","hár","Alto","高い","dhuwur","მაღალი","биік","키가 큰","узун","grouss","ūgio","garš","висок","өндөр","tinggi","għoli","အရပ်ရှည်တယ်။","अग्लो","lang","høy","wysoki","اوږد","alto","înalt","высокий","vysoký","visok","dheer","i gjatë","висок","jangkung","lång","mrefu","баланд","สูง","uzyn","matangkad","uzun","високий","لمبا","baland","cao","高的"
"high","high","hoog","ከፍተኛ","عالي","ওখ","yüksək","высокая","Високо","উচ্চ","visoko","vysoký","høj","hoch","އުސް","υψηλός","alto","kõrge","بالا","korkea","haut","ard","גָבוֹהַ","उच्च","visoka","բարձր","tinggi","hár","alto","高い","dhuwur","მაღალი","жоғары","높은","бийик","héich","aukštas","augsts","високо","өндөр","tinggi","għoli","မြင့်မားသော","उच्च","hoog","høy","wysoki","لوړ","alto","înalt","высокий","vysoká","visoka","sare","lartë","висока","luhur","hög","juu","баланд","สูง","beýik","mataas","yüksek","висока","اعلی","yuqori","cao","高的"
"big","big","groot","ትልቅ","كبير","ডাঙৰ","böyük","вялікі","голям","বড়","veliki","velký","stor","groß","ބޮޑު","μεγάλο","grande","suur","بزرگ","iso","grand","mór","גָדוֹל","बड़ा","velik","մեծ","besar","stór","grande","大きい","gedhe","დიდი","үлкен","큰","чоң","grouss","didelis","liels","големо","том","besar","kbar","ကြီးတယ်။","ठूलो","groot","stor","duży","لوی","grande","mare","большой","veľký","velik","weyn","i madh","велики","badag","stor","kubwa","калон","ใหญ่","uly","malaki","büyük","великий","بڑا","katta","to lớn","大的"
"lanky","lanky","slank","ላንክ","نحيف","লেংকি","cılız","даўгавязы","хилав","দুষ্ট","lanky","vytáhlý","ranglet","schlaksig","ލަންކީ އެވެ","ισχνός και υψηλός","larguirucho","kõhn","لاغر","hontelo","dégingandé","lancach","גָבוֹהַ וְרָזֵה","दुबला","mršava","նիհար","kurus","hallærislegur","allampanato","ひょろひょろ","langsing","ლაჩარი","арық","호리호리한","арык","schlank","išsekęs","ļengans","слаби","туранхай","kurus","denky","ပျင်းရိသော","कमजोर","slungelig","ranke","chudy","خپه","esguio","slăbănog","долговязый","vychudnutý","suh","caajisnimo","i dobët","ланки","langsing","gänglig","mvivu","лоғар","อ่อนแอ","lanky","matangkad","sıska","довговязий","کمزور","ingichka","cao lêu nghêu","瘦长的"
"towering","towering","toring","ከፍ ከፍ ማድረግ","شاهق","টাৱাৰিং","ucalan","узвышаецца","извисяващ се","সুউচ্চ","towering","tyčící se","tårnhøje","hoch aufragend","ޓަވަރިންގ އެވެ","πανυψηλός","imponente","kõrguv","سر به فلک کشیده","kohoava","imposant","arda","מִתנַשֵׂא","ऊंचा","veoma visok","աշտարակավոր","tinggi","gnæfandi","torreggiante","そびえ立つ","inggil","კოშკიანი","биік","높이 솟은","бийик","tierkesch","iškilęs","stiprs","високи","өндөрт өргөгдсөн","menjulang tinggi","towering","မြင့်သော","विशाल","torenhoog","ruvende","wysoki","برجونه","elevando-se","falnic","возвышающийся","týčiaci sa","visok","kor u qaadid","i tmerrshëm","товеринг","ngaluhuran","höga","mnara","баланд","สูงตระหง่าน","diň","matayog","yükselen","височезний","بلند","balandparvoz","cao chót vót","参天"
"stately","stately","statig","ግርማ ሞገስ ያለው","فخم","ৰাজ্যিক","əzəmətli","велічны","величествен","রাষ্ট্রীয়ভাবে","dostojanstven","majestátní","statelige","stattlich","ދައުލަތުގެ ވެރިއެކެވެ","μεγαλοπρεπής","majestuoso","esinduslik","باشکوه","komea","majestueux","maorach","מַרשִׁים","आलीशान","dostojanstven","վեհանձն","megah","virðulegur","maestoso","風格のある","megah","დიდებული","мәртебелі","위엄 있는","мамлекеттүү","staatlech","didingas","stalts","великодушен","сүртэй","megah","majesty","ခံ့ညား","भव्य","statig","staselig","dostojny","عالي","imponente","impunător","величественный","majestátne","mogočno","si sharaf leh","hijerëndë","достојанствен","megah","ståtlig","kifahari","давлатдор","โอฬาร","ajaýyp","marangal","görkemli","величний","باوقار","ulug'vor","trang nghiêm","庄严"
"small","small","klein","ትንሽ","صغير","সৰু","kiçik","невялікія","малък","ছোট","mala","malý","lille","klein","ކުޑަ","μικρό","pequeño","väike","کم اهمیت","pieni","petit","beag","קָטָן","छोटा","mali","փոքր","kecil","lítill","piccolo","小さい","cilik","პატარა","кішкентай","작은","кичинекей","kleng","mažas","mazs","мали","жижиг","kecil","żgħar","သေးငယ်သည်။","सानो","klein","liten","mały","کوچنی","pequeno","mic","маленький","malý","majhna","yar","të vogla","мали","leutik","små","ndogo","хурд","เล็ก","kiçi","maliit","küçük","маленький","چھوٹا","kichik","bé nhỏ","小的"
